source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-match-3-3-black-lime-2024,adidas-match-3-3-black-lime-2024,Adidas Match 3.3 Black/Lime 2024,Adidas,,2023-12-20T11:56:50.440Z,6.0,5.8,6.7,5.5,6.8,5.1
padelful,https://www.padelful.com/en/rackets/adidas-match-3-3-black-red-2024,adidas-match-3-3-black-red-2024,Adidas Match 3.3 Black/Red 2024,Adidas,,2023-12-20T12:00:51.311Z,6.0,6.0,6.3,5.7,6.8,5.0
padelful,https://www.padelful.com/en/rackets/adidas-match-black-2026,adidas-match-black-2026,Adidas Match Black 2026,Adidas,,2025-12-08T13:07:22.768Z,5.9,5.9,6.3,5.4,7.1,4.9
padelful,https://www.padelful.com/en/rackets/adidas-match-black-3-4-2025,adidas-match-black-3-4-2025,Adidas Match Black 3.4 2025,Adidas,,2025-02-12T15:20:59.926Z,6.0,6.0,6.5,5.5,6.9,5.1
padelful,https://www.padelful.com/en/rackets/adidas-match-black-lime-2026,adidas-match-black-lime-2026,Adidas Match Black Lime 2026,Adidas,,2025-12-08T13:15:44.057Z,5.9,5.8,6.4,5.5,6.8,4.9
padelful,https://www.padelful.com/en/rackets/adidas-match-blue-3-4-2025,adidas-match-blue-3-4-2025,Adidas Match Blue 3.4 2025,Adidas,,2025-02-12T15:10:57.785Z,6.1,6.1,6.6,5.6,7.2,5.1
padelful,https://www.padelful.com/en/rackets/adidas-match-bronze-3-2-2023,adidas-match-bronze-3-2-2023,Adidas Match Bronze 3.2 2023,Adidas,,2023-08-04T17:48:08.403Z,5.9,5.9,6.5,5.7,6.8,4.8
padelful,https://www.padelful.com/en/rackets/adidas-match-light-2026,adidas-match-light-2026,Adidas Match Light 2026,Adidas,,2025-12-08T12:34:39.296Z,6.1,6.1,6.6,5.6,7.0,5.0
padelful,https://www.padelful.com/en/rackets/adidas-match-light-3-1-2022,adidas-match-light-3-1-2022,Adidas Match Light 3.1 2022,Adidas,,2022-08-07T11:27:56.273Z,5.9,4.9,6.6,5.5,7.6,4.9
padelful,https://www.padelful.com/en/rackets/adidas-match-light-3-2-2023,adidas-match-light-3-2-2023,Adidas Match Light 3.2 2023,Adidas,,2023-08-05T20:03:38.190Z,6.0,5.1,6.7,5.6,7.6,4.9
padelful,https://www.padelful.com/en/rackets/adidas-match-light-3-3-2024,adidas-match-light-3-3-2024,Adidas Match Light 3.3 2024,Adidas,,2023-12-20T12:27:12.032Z,5.9,5.1,6.4,5.4,7.5,5.0
padelful,https://www.padelful.com/en/rackets/adidas-match-light-3-4-2025,adidas-match-light-3-4-2025,Adidas Match Light 3.4 2025,Adidas,,2025-02-12T17:14:40.043Z,6.1,6.0,6.7,5.5,7.2,5.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-2026-ale-galan,adidas-metalbone-2026-ale-galan,Adidas Metalbone 2026 - Ale Galan,Adidas,,2025-12-08T13:09:29.968Z,8.7,9.1,8.7,9.4,8.0,8.2
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-3-1-2022,adidas-metalbone-3-1-2022,Adidas Metalbone 3.1 2022,Adidas,,2022-08-06T19:46:17.290Z,8.7,8.7,8.6,10.0,8.0,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-3-2-2023,adidas-metalbone-3-2-2023,Adidas Metalbone 3.2 2023,Adidas,,2023-07-31T21:23:55.677Z,8.6,9.1,8.6,9.5,7.9,7.9
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-3-3-2024,adidas-metalbone-3-3-2024,Adidas Metalbone 3.3 2024,Adidas,,2023-12-20T11:58:09.442Z,8.6,8.9,8.6,9.5,8.1,8.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-3-4-2025-ale-galan,adidas-metalbone-3-4-2025-ale-galan,Adidas Metalbone 3.4 2025 - Ale Galan,Adidas,,2025-02-12T15:17:21.394Z,8.6,9.2,8.6,9.6,7.8,7.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-3-4-hrd-2025,adidas-metalbone-3-4-hrd-2025,Adidas Metalbone 3.4 HRD+ 2025,Adidas,,2025-02-12T17:14:56.203Z,8.8,10.0,9.7,8.1,8.1,8.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-2023,adidas-metalbone-carbon-2023,Adidas Metalbone Carbon 2023,Adidas,,2023-08-04T18:46:18.110Z,8.4,8.4,8.2,9.5,7.9,8.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-2026,adidas-metalbone-carbon-2026,Adidas Metalbone Carbon 2026,Adidas,,2025-12-08T13:08:47.276Z,8.4,8.7,7.8,9.7,7.9,7.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-3-3-2024,adidas-metalbone-carbon-3-3-2024,Adidas Metalbone Carbon 3.3 2024,Adidas,,2023-12-20T12:01:48.413Z,8.4,8.6,8.0,9.4,8.1,7.8
