source_portal,source_url,slug,product_id,name,brand,price_eur,score,power,control,comfort,spin,forgiveness,maneuverability,low_speed
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22457-bullpadel-neuron-02-edge-premier-padel-tf-26-racket.html,22457-bullpadel-neuron-02-edge-premier-padel-tf-26-racket,22457,Bullpadel Neuron 02 Edge Premier Padel TF 26 racket,Bullpadel,329.8,70.1,78,79,61,68,67,69,69
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22501-adidas-cross-it-ctrl-2026-ortega-racket.html,22501-adidas-cross-it-ctrl-2026-ortega-racket,22501,Adidas Cross It Ctrl 2026 Ortega Racket,Adidas,299.8,75.1,66,87,78,65,76,83,71
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22502-adidas-rx-series-2026-racket.html,22502-adidas-rx-series-2026-racket,22502,Adidas RX Series 2026 Racket,Adidas,107.8,74.6,57,79,94,40,92,83,77
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22503-adidas-drive-black-2026-racket.html,22503-adidas-drive-black-2026-racket,22503,Adidas Drive Black 2026 Racket,Adidas,69.85,73.7,68,77,86,50,87,71,77
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22504-adidas-match-light-2026-racket.html,22504-adidas-match-light-2026-racket,22504,Adidas Match Light 2026 Racket,Adidas,69.85,70.9,75,48,90,53,81,58,91
extreme-tennis,https://www.extreme-tennis.eu/dunlop-padel-rackets/22523-dunlop-fx-pro-2026-racket.html,22523-dunlop-fx-pro-2026-racket,22523,Dunlop FX Pro 2026 racket,Dunlop,199.86,68.6,88,77,60,68,60,59,68
extreme-tennis,https://www.extreme-tennis.eu/dunlop-padel-rackets/22524-dunlop-fx-lite-2026-racket.html,22524-dunlop-fx-lite-2026-racket,22524,Dunlop FX Lite 2026 racket,Dunlop,159.86,70.7,76,81,68,68,67,73,62
extreme-tennis,https://www.extreme-tennis.eu/dunlop-padel-rackets/22525-dunlop-fx-team-2026-racket.html,22525-dunlop-fx-team-2026-racket,22525,Dunlop FX Team 2026 racket,Dunlop,154.86,72.6,62,71,82,68,76,80,69
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22531-adidas-metalbone-ctrl-2026-racket.html,22531-adidas-metalbone-ctrl-2026-racket,22531,Adidas Metalbone Ctrl 2026 Racket,Adidas,349.8,76.1,66,83,81,65,83,78,77
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22537-adidas-arrow-hit-ctrl-2026-racket.html,22537-adidas-arrow-hit-ctrl-2026-racket,22537,Adidas Arrow Hit Ctrl 2026 Racket,Adidas,339.8,72.6,80,80,67,65,79,65,72
