unified_id,canonical_name,brand,year,source_count,reliability_score,source_portals,source_urls_json,aliases_json,slug_canonical,shape,balance,surface,level,feel,weight_raw,image_source_recommended,overall_rating_avg,power_avg,control_avg,comfort_avg,spin_avg,forgiveness_avg,maneuverability_avg,low_speed_avg,rebound_avg,sweet_spot_avg,ball_output_avg,effect_avg,tolerance_avg,total_avg,has_padelful,padelful_url,padelful_name,has_pala-hack,pala-hack_url,pala-hack_name,has_padelzoom,padelzoom_url,padelzoom_name,has_padelreference,padelreference_url,padelreference_name,has_extreme-tennis,extreme-tennis_url,extreme-tennis_name
racket-02238,Bullpadel Hack Advance 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22558-bullpadel-hack-advance-26-racket.html""}","[""Bullpadel Hack Advance 26 racket""]",22558-bullpadel-hack-advance-26-racket,,,,,,,extreme-tennis,,63.0,72.0,86.0,85.0,89.0,72.0,84.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22558-bullpadel-hack-advance-26-racket.html,Bullpadel Hack Advance 26 racket
racket-01466,Bullpadel Hack JR 2024,bullpadel,2024,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2024/""}","[""Bullpadel Hack JR 2024""]",bullpadel-hack-jr-2024,Diamond,Medium,Smooth,Advanced,Medium,,pala-hack,8.05,7.75,8.0,,,,8.5,,,8.25,7.75,,,8.05,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2024/,Bullpadel Hack JR 2024,0,,,0,,,0,,
racket-01623,Bullpadel Hack JR 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2025/""}","[""Bullpadel Hack JR 2025""]",bullpadel-hack-jr-2025,Diamond,Medium,Smooth,Intermediate,Medium,,pala-hack,8.4,8.0,8.5,,,,9.0,,,8.5,8.0,,,8.4,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2025/,Bullpadel Hack JR 2025,0,,,0,,,0,,
racket-01751,Bullpadel Hack JR 2026,bullpadel,2026,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2026/""}","[""Bullpadel Hack JR 2026""]",bullpadel-hack-jr-2026,Diamond,Medium,Smooth,Intermediate,Soft,,pala-hack,7.7,7.0,7.75,,,,8.5,,,7.75,7.5,,,7.7,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-jr-2026/,Bullpadel Hack JR 2026,0,,,0,,,0,,
racket-02020,Bullpadel ICON 26,bullpadel,2026,1,1,padelreference,"{""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-icon-26""}","[""Bullpadel ICON 26""]",bullpadel-icon-26,Diamond,Head Heavy,12k Carbon,,,365g,padelreference,,10.0,9.0,7.0,,,7.0,,,,,6.0,7.0,,0,,,0,,,0,,,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-icon-26,Bullpadel ICON 26,0,,
racket-01624,Bullpadel Icon 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-2025/""}","[""Bullpadel Icon 2025""]",bullpadel-icon-2025,Teardrop,High,Rough,Advanced,Medium,,pala-hack,8.3,9.25,8.0,,,,7.75,,,8.0,8.5,,,8.3,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-2025/,Bullpadel Icon 2025,0,,,0,,,0,,
racket-01988,Bullpadel Icon CLoud 2025,bullpadel,2025,1,1,padelreference,"{""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-icon-cloud-2025""}","[""Bullpadel Icon CLoud 2025""]",bullpadel-icon-cloud-2025,Diamond,Head Heavy,,,,370g,padelreference,,9.0,8.0,8.0,,,7.0,,,,,7.0,8.0,,0,,,0,,,0,,,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-icon-cloud-2025,Bullpadel Icon CLoud 2025,0,,
racket-01625,Bullpadel Icon Juan Martín Díaz 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-juan-martin-diaz-2025/""}","[""Bullpadel Icon Juan Martín Díaz 2025""]",bullpadel-icon-juan-martin-diaz-2025,Teardrop,High,Rough,Advanced,Medium,,pala-hack,8.3,9.25,8.0,,,,7.75,,,8.0,8.5,,,8.3,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-juan-martin-diaz-2025/,Bullpadel Icon Juan Martín Díaz 2025,0,,,0,,,0,,
racket-01859,Bullpadel Icon Juan Martín Díaz2026,bullpadel,2026,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-2026/""}","[""Bullpadel Icon Juan Martín Díaz2026""]",bullpadel-icon-2026,Diamond,High,Rough,Advanced,Medium,,pala-hack,8.75,,,,,,,,,,,,,,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-icon-2026/,Bullpadel Icon Juan Martín Díaz2026,0,,,0,,,0,,
racket-01626,Bullpadel Indiga 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-indiga-2025/""}","[""Bullpadel Indiga 2025""]",bullpadel-indiga-2025,Diamond,High,Smooth,"Beginner, Intermediate",Soft,,pala-hack,7.5,7.25,7.0,,,,8.0,,,7.5,7.75,,,7.5,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-indiga-2025/,Bullpadel Indiga 2025,0,,,0,,,0,,
